item_type,item_age_years,item_condition,triage_action,user_age,app_sessions_per_month,distance_to_dropoff_km,points_redeemed_history,items_recycled_count
Monitor,8.4,Fair,Recycle,23,20,11.4,940,5
Peripherals,10.0,Excellent,Recycle,48,20,11.0,7787,4
Laptop,6.9,Good,Recycle,57,2,4.6,3945,0
Laptop,9.5,Fair,Recycle,30,25,0.8,7058,8
Monitor,0.7,Dead,Recycle,40,7,2.8,4848,3
Laptop,9.9,Dead,Recycle,21,1,5.6,8421,2
Laptop,1.0,Good,Refurbish,54,21,14.6,4852,6
Monitor,10.7,Good,Recycle,59,18,13.8,6459,2
Monitor,11.9,Good,Refurbish,54,10,3.4,4857,3
Smartphone,3.9,Dead,Recycle,61,6,11.0,7738,0
Peripherals,2.9,Dead,Refurbish,50,7,8.9,237,0
Peripherals,9.3,Broken,Recycle,59,12,1.2,3772,8
Laptop,3.4,Fair,Refurbish,46,18,5.9,7735,4
Peripherals,10.5,Fair,Recycle,54,11,7.5,2781,2
Laptop,1.7,Fair,Refurbish,36,22,10.2,7087,8
Smartphone,1.9,Good,Refurbish,37,29,4.8,1984,10
Monitor,11.8,Fair,Recycle,49,19,14.0,1052,3
Monitor,8.2,Excellent,Recycle,61,25,7.1,7658,8
Monitor,10.2,Good,Recycle,33,4,4.1,5254,1
Peripherals,4.2,Dead,Recycle,22,19,5.1,350,5
Smartphone,8.3,Broken,Recycle,63,13,11.4,912,1
Peripherals,7.3,Fair,Recycle,29,27,9.8,4445,3
Peripherals,7.4,Fair,Refurbish,62,19,11.3,9496,2
Smartphone,8.3,Fair,Recycle,38,2,4.7,291,0
Smartphone,7.1,Broken,Recycle,31,28,5.2,9404,9
Smartphone,5.4,Broken,Recycle,54,9,6.3,7750,3
Smartphone,3.7,Broken,Recycle,39,8,3.2,467,4
Monitor,9.3,Broken,Recycle,47,21,10.5,3277,3
Tablet,3.1,Good,Refurbish,40,14,5.3,5361,7
Tablet,8.5,Good,Recycle,22,29,5.2,5303,11
Smartphone,3.2,Fair,Refurbish,46,9,4.4,3575,3
Tablet,7.7,Good,Refurbish,47,13,7.1,6592,2
Tablet,9.1,Broken,Recycle,35,18,11.7,4325,3
Smartphone,3.0,Good,Recycle,63,6,12.6,1064,1
Tablet,1.2,Good,Refurbish,18,23,12.2,4888,8
Peripherals,2.0,Fair,Refurbish,56,22,9.5,9885,6
Laptop,7.5,Dead,Recycle,34,3,4.6,2394,0
Laptop,10.3,Good,Recycle,20,10,11.2,8278,5
Smartphone,1.0,Fair,Refurbish,59,10,1.1,2920,3
Monitor,8.9,Fair,Refurbish,24,10,12.1,6858,4
Smartphone,4.4,Excellent,Refurbish,44,9,11.8,3,2
Monitor,6.0,Fair,Refurbish,45,12,10.2,5940,2
Laptop,11.2,Broken,Refurbish,61,24,1.9,8048,9
Smartphone,4.3,Fair,Refurbish,48,8,15.0,9713,0
Peripherals,5.9,Dead,Recycle,32,24,11.5,1977,5
Tablet,0.7,Good,Refurbish,25,9,11.2,9666,1
Monitor,1.4,Excellent,Refurbish,23,17,1.4,9322,6
Tablet,3.5,Dead,Recycle,45,8,6.3,9072,3
Tablet,0.8,Fair,Refurbish,21,18,1.7,9593,7
Smartphone,7.8,Fair,Recycle,47,20,5.7,1750,4
Tablet,5.4,Broken,Recycle,60,17,8.8,1,4
Peripherals,6.8,Good,Recycle,34,28,13.2,9336,6
Tablet,2.5,Broken,Recycle,51,6,4.6,9830,3
Smartphone,3.9,Good,Refurbish,23,10,9.5,8340,0
Peripherals,8.1,Good,Recycle,53,1,2.9,4247,2
Laptop,11.6,Good,Recycle,52,28,5.6,7732,7
Tablet,1.1,Broken,Recycle,56,21,14.2,6035,5
Smartphone,10.7,Good,Recycle,56,25,11.3,2043,8
Laptop,7.1,Broken,Recycle,33,1,8.4,1702,0
Laptop,7.0,Dead,Recycle,19,9,4.1,5947,3
Monitor,6.3,Fair,Recycle,25,20,6.0,1387,6
Peripherals,1.3,Fair,Recycle,32,3,2.8,9855,0
Tablet,1.5,Fair,Refurbish,44,24,5.6,5826,5
Smartphone,7.4,Good,Recycle,33,6,2.7,9442,1
Monitor,4.4,Fair,Refurbish,18,7,12.0,4462,0
Peripherals,11.0,Fair,Recycle,27,9,1.7,2036,3
Monitor,5.2,Dead,Recycle,24,5,3.2,6405,1
Peripherals,2.1,Dead,Refurbish,27,29,10.5,6789,8
Peripherals,8.7,Dead,Recycle,29,16,13.6,6119,4
Tablet,3.9,Dead,Recycle,34,2,14.5,537,0
Peripherals,6.5,Fair,Recycle,62,3,12.6,9746,0
Monitor,8.5,Broken,Recycle,29,3,3.6,8982,0
Peripherals,10.9,Dead,Recycle,32,20,4.6,6863,4
Tablet,9.6,Fair,Recycle,63,26,13.1,1948,4
Tablet,8.3,Dead,Recycle,49,23,13.4,5178,3
Monitor,8.3,Fair,Recycle,49,28,9.8,5104,7
Laptop,11.4,Fair,Recycle,43,10,5.0,4143,4
Laptop,3.9,Broken,Recycle,31,22,3.7,9627,7
Peripherals,0.5,Dead,Recycle,43,3,12.9,2848,0
Smartphone,3.6,Good,Recycle,22,15,3.5,8305,3
Peripherals,3.0,Broken,Recycle,55,14,10.1,2343,4
Monitor,8.1,Fair,Recycle,63,23,14.5,4533,4
Monitor,7.8,Good,Recycle,21,4,10.7,161,1
Monitor,7.3,Broken,Recycle,45,10,4.2,8695,1
Monitor,0.7,Fair,Refurbish,18,11,4.6,2634,1
Monitor,8.9,Broken,Recycle,30,11,1.8,5101,5
Tablet,4.2,Good,Recycle,60,8,10.5,5766,0
Laptop,8.1,Fair,Recycle,20,23,8.0,9586,4
Monitor,6.9,Fair,Recycle,42,23,3.5,1509,6
Smartphone,4.4,Fair,Refurbish,59,9,3.8,2319,3
Smartphone,2.0,Good,Refurbish,33,8,0.6,6105,4
Smartphone,1.6,Dead,Recycle,38,12,14.7,8671,0
Smartphone,10.1,Fair,Recycle,30,17,12.5,8946,6
Tablet,11.1,Broken,Recycle,61,23,6.2,3999,4
Smartphone,8.0,Fair,Recycle,53,15,14.2,8395,2
Monitor,1.7,Fair,Refurbish,25,19,10.3,3349,6
Peripherals,5.1,Fair,Refurbish,61,28,11.4,4211,8
Smartphone,8.9,Fair,Recycle,36,20,10.4,391,0
Tablet,9.5,Fair,Recycle,64,6,11.5,7951,5
Tablet,1.9,Fair,Refurbish,33,5,3.0,6831,1
Smartphone,0.5,Fair,Refurbish,29,8,8.7,2773,2
Peripherals,8.7,Good,Recycle,37,18,12.8,2416,3
Smartphone,4.6,Fair,Recycle,35,21,0.8,1238,10
Tablet,3.4,Good,Refurbish,29,21,2.3,6712,9
Laptop,0.6,Good,Refurbish,42,15,4.1,740,8
Monitor,6.7,Dead,Recycle,28,3,4.8,6470,2
Tablet,10.3,Fair,Recycle,39,14,3.1,9727,6
Smartphone,11.5,Broken,Recycle,63,26,9.6,7491,5
Monitor,7.0,Fair,Recycle,51,15,4.8,368,4
Smartphone,6.4,Dead,Recycle,30,13,2.8,4909,6
Smartphone,1.5,Fair,Recycle,63,21,13.6,5219,5
Laptop,6.8,Broken,Recycle,55,20,10.6,9290,5
Monitor,4.9,Fair,Recycle,29,27,4.1,7604,7
Monitor,7.5,Dead,Recycle,56,21,5.7,9583,8
Laptop,5.0,Broken,Recycle,53,26,11.2,6206,8
Tablet,3.3,Dead,Recycle,45,9,12.0,1647,3
Smartphone,1.6,Good,Refurbish,44,23,3.1,9870,8
Peripherals,4.1,Good,Recycle,56,17,14.1,2824,3
Smartphone,1.6,Good,Refurbish,30,19,11.9,4170,6
Smartphone,2.5,Good,Refurbish,60,25,12.9,5909,7
Tablet,11.9,Dead,Recycle,57,4,2.6,3781,0
Smartphone,5.6,Excellent,Refurbish,44,20,2.6,3128,7
Laptop,6.6,Excellent,Recycle,48,10,4.9,9464,4
Laptop,10.5,Good,Refurbish,19,22,1.4,1979,6
Monitor,11.9,Good,Recycle,35,3,1.8,6612,3
Peripherals,7.2,Good,Recycle,43,19,2.6,6022,7
Smartphone,9.8,Broken,Recycle,59,9,10.8,6081,1
Smartphone,4.3,Fair,Recycle,48,29,0.9,9768,7
Tablet,4.0,Excellent,Refurbish,55,5,1.7,7832,3
Laptop,5.1,Fair,Recycle,39,14,14.2,9661,5
Peripherals,8.2,Fair,Recycle,53,7,1.7,9171,3
Monitor,8.3,Good,Recycle,36,21,8.3,1255,7
Laptop,4.1,Broken,Recycle,31,6,9.8,9833,0
Monitor,2.0,Broken,Recycle,31,24,14.4,299,5
Tablet,7.8,Broken,Recycle,46,8,13.5,7809,1
Tablet,2.0,Broken,Recycle,34,2,6.9,4521,0
Smartphone,7.2,Excellent,Refurbish,54,27,14.2,3042,7
Peripherals,8.5,Dead,Recycle,26,25,6.8,8592,8
Monitor,8.6,Broken,Recycle,18,26,10.2,1280,6
Laptop,9.2,Dead,Recycle,21,28,4.3,9053,9
Tablet,10.5,Excellent,Recycle,24,28,9.7,4589,11
Smartphone,6.2,Dead,Recycle,28,28,8.3,8133,7
Smartphone,8.9,Broken,Recycle,31,14,9.3,6632,2
Monitor,7.6,Broken,Recycle,59,22,10.4,2784,4
Tablet,2.6,Excellent,Recycle,36,7,3.0,7398,3
Peripherals,0.8,Broken,Recycle,57,3,4.9,6708,0
Tablet,3.8,Dead,Recycle,20,20,11.2,7173,4
Monitor,5.6,Broken,Recycle,25,22,2.9,4159,6
Monitor,7.6,Fair,Recycle,46,23,5.5,9303,7
Tablet,10.3,Dead,Recycle,54,6,10.2,9248,1
Monitor,2.8,Fair,Refurbish,60,21,14.1,9287,5
Tablet,1.9,Fair,Refurbish,26,14,1.6,2300,6
Laptop,11.6,Fair,Recycle,36,12,8.0,6250,5
Tablet,1.7,Dead,Recycle,29,18,1.7,7969,6
Tablet,6.0,Excellent,Refurbish,44,12,6.0,3991,2
Monitor,7.2,Fair,Recycle,54,7,3.0,513,4
Monitor,6.7,Broken,Recycle,42,5,9.9,4231,0
Smartphone,1.5,Broken,Refurbish,62,12,11.5,6552,3
Smartphone,1.2,Fair,Recycle,55,9,4.1,8312,3
Laptop,1.7,Dead,Recycle,34,29,10.8,9693,8
Smartphone,7.2,Dead,Refurbish,61,11,7.0,2847,3
Tablet,6.8,Excellent,Recycle,50,4,4.6,1117,1
Monitor,3.2,Fair,Refurbish,56,14,8.1,8696,4
Smartphone,7.8,Excellent,Recycle,31,26,6.0,9815,6
Smartphone,9.9,Good,Recycle,45,12,3.8,7861,3
Laptop,1.0,Fair,Recycle,35,18,11.5,2238,7
Laptop,6.2,Dead,Recycle,50,7,12.1,6600,2
Tablet,8.4,Broken,Recycle,59,23,12.1,2433,7
Monitor,3.4,Good,Refurbish,32,1,6.0,8994,0
Laptop,4.0,Excellent,Refurbish,28,27,3.0,7009,9
Smartphone,7.6,Fair,Refurbish,53,13,12.7,7166,3
Monitor,10.8,Fair,Recycle,32,16,5.3,4373,7
Monitor,9.8,Good,Recycle,47,5,11.3,8146,0
Smartphone,7.2,Dead,Recycle,32,19,12.4,1471,5
Laptop,8.9,Dead,Recycle,40,25,11.6,9018,7
Smartphone,4.7,Fair,Refurbish,60,9,6.2,1428,4
Monitor,7.9,Dead,Recycle,32,23,14.1,4874,5
Peripherals,5.9,Fair,Recycle,46,28,10.1,7923,9
Peripherals,2.7,Broken,Recycle,28,9,8.8,4306,0
Tablet,8.6,Fair,Recycle,62,12,10.6,3781,1
Smartphone,6.9,Good,Recycle,35,18,1.1,2317,7
Smartphone,4.6,Dead,Recycle,57,27,6.2,6688,9
Tablet,11.0,Fair,Recycle,48,26,13.3,1006,6
Tablet,0.7,Broken,Refurbish,26,24,2.8,1637,7
Tablet,4.1,Fair,Refurbish,39,26,6.5,9036,7
Monitor,1.2,Excellent,Refurbish,28,10,6.4,5111,1
Smartphone,9.3,Good,Recycle,34,26,5.7,7449,8
Monitor,8.6,Fair,Recycle,50,29,8.7,3287,6
Tablet,4.3,Broken,Recycle,28,17,14.9,5440,5
Smartphone,8.3,Good,Recycle,56,19,4.2,2861,6
Monitor,5.1,Broken,Recycle,25,24,10.7,638,8
Monitor,9.2,Broken,Recycle,21,11,11.5,8684,2
Tablet,5.7,Broken,Recycle,53,16,9.0,5725,4
Smartphone,5.2,Fair,Refurbish,36,8,1.9,2175,3
Tablet,11.2,Dead,Recycle,41,26,8.8,5595,6
Smartphone,3.4,Fair,Recycle,58,24,14.3,1485,3
Peripherals,1.9,Fair,Refurbish,35,27,5.5,6581,7
Laptop,7.2,Good,Recycle,50,15,9.8,4543,3
Laptop,11.6,Good,Refurbish,63,28,14.4,5221,5
Laptop,4.8,Excellent,Recycle,53,11,12.1,8750,4
Tablet,1.2,Fair,Refurbish,27,7,10.5,3748,0
Peripherals,4.4,Good,Refurbish,31,2,14.6,9161,0
Smartphone,6.3,Good,Recycle,24,19,3.0,5032,7
Monitor,2.4,Broken,Recycle,29,9,11.7,6426,3
Smartphone,8.1,Good,Refurbish,39,18,6.4,4009,6
Monitor,12.0,Good,Recycle,44,13,5.7,5323,3
Smartphone,5.7,Good,Refurbish,54,23,8.0,8277,9
Peripherals,4.6,Broken,Recycle,28,1,1.0,5443,0
Monitor,5.1,Good,Recycle,53,19,5.0,6307,4
Tablet,1.8,Fair,Refurbish,30,13,2.9,3128,5
Smartphone,10.7,Fair,Recycle,49,14,2.5,4301,5
Smartphone,5.3,Broken,Recycle,25,17,5.4,6027,6
Monitor,5.0,Fair,Refurbish,24,22,12.1,5409,5
Tablet,8.1,Broken,Recycle,60,20,3.4,946,7
Tablet,5.6,Excellent,Refurbish,60,1,8.2,3208,1
Peripherals,8.0,Good,Refurbish,34,5,11.4,3440,0
Tablet,1.2,Good,Recycle,39,20,4.0,1545,7
Tablet,9.9,Good,Recycle,63,14,13.9,3507,1
Tablet,11.3,Good,Recycle,51,27,13.1,29,5
Laptop,8.0,Good,Recycle,37,26,4.1,9663,9
Peripherals,11.5,Fair,Recycle,25,27,14.8,1409,6
Smartphone,2.2,Broken,Recycle,39,26,10.2,3679,7
Monitor,6.0,Fair,Refurbish,44,18,4.6,8720,4
Smartphone,7.4,Broken,Recycle,51,13,10.4,5147,2
Peripherals,7.2,Good,Recycle,38,23,10.2,125,6
Monitor,5.1,Good,Recycle,32,12,9.3,4908,2
Peripherals,4.4,Fair,Refurbish,22,15,10.8,6642,2
Tablet,2.0,Excellent,Refurbish,55,24,4.4,3258,6
Monitor,5.0,Excellent,Refurbish,34,4,14.7,8845,0
Tablet,2.4,Fair,Refurbish,25,9,12.9,8141,1
Smartphone,8.9,Dead,Recycle,36,3,11.3,8932,0
Smartphone,2.9,Broken,Recycle,22,29,0.9,2261,12
Monitor,1.2,Excellent,Refurbish,40,22,9.1,7953,7
Monitor,6.9,Broken,Recycle,36,11,10.7,8482,3
Peripherals,7.3,Broken,Recycle,31,15,12.9,1693,6
Peripherals,10.5,Fair,Recycle,27,16,14.2,5887,3
Tablet,7.1,Broken,Recycle,48,7,13.8,4644,1
Monitor,4.5,Fair,Refurbish,30,7,6.4,9511,2
Smartphone,9.7,Good,Recycle,39,22,13.5,2821,6
Peripherals,6.7,Fair,Recycle,54,9,0.5,3662,2
Peripherals,1.4,Fair,Recycle,56,17,5.6,5194,5
Smartphone,7.0,Fair,Recycle,27,13,2.2,1395,3
Peripherals,10.9,Fair,Recycle,48,9,13.3,2967,2
Tablet,5.1,Dead,Recycle,60,29,14.0,3961,7
Monitor,3.9,Dead,Recycle,52,9,4.2,2614,0
Smartphone,2.1,Dead,Recycle,30,20,5.8,6870,7
Monitor,2.2,Broken,Recycle,47,29,14.8,1544,7
Peripherals,5.5,Dead,Recycle,51,28,8.7,5225,10
Peripherals,7.4,Excellent,Recycle,53,12,7.7,9972,4
Smartphone,1.4,Good,Recycle,52,21,7.8,7986,7
Tablet,11.3,Fair,Recycle,64,19,10.6,4882,3
Laptop,9.2,Broken,Recycle,21,23,14.3,4433,7
Smartphone,7.2,Fair,Recycle,21,15,5.8,7034,4
Laptop,10.0,Broken,Recycle,64,18,3.0,9248,5
Laptop,1.4,Good,Refurbish,23,8,3.2,9637,0
Tablet,6.0,Good,Recycle,45,25,0.8,1096,10
Laptop,7.7,Broken,Recycle,47,6,8.6,1204,1
Laptop,10.0,Good,Recycle,44,25,14.0,7947,6
Tablet,9.5,Fair,Recycle,22,6,10.8,7319,1
Laptop,3.7,Good,Refurbish,61,3,14.9,3583,2
Laptop,11.3,Good,Recycle,56,26,13.7,7539,6
Laptop,1.9,Broken,Recycle,52,3,7.6,7140,0
Smartphone,10.6,Fair,Recycle,56,2,7.6,2038,2
Smartphone,11.7,Fair,Recycle,61,5,9.6,8179,0
Smartphone,2.5,Excellent,Refurbish,32,29,2.1,9924,8
Tablet,8.8,Broken,Recycle,36,20,9.3,5926,2
Peripherals,1.0,Fair,Recycle,47,12,7.2,8223,5
Laptop,5.2,Fair,Refurbish,55,6,9.8,2974,1
Laptop,6.4,Broken,Recycle,49,16,8.7,3568,5
Tablet,7.2,Good,Recycle,57,5,5.0,8206,1
Laptop,11.3,Dead,Recycle,46,6,9.3,8298,2
Smartphone,8.2,Fair,Recycle,23,4,5.8,3793,0
Peripherals,6.0,Fair,Refurbish,43,14,3.3,201,5
Monitor,9.8,Good,Refurbish,44,29,10.3,7956,8
Laptop,11.4,Dead,Recycle,52,3,4.9,7385,3
Smartphone,0.8,Broken,Recycle,45,17,13.4,6007,4
Monitor,11.8,Good,Recycle,22,5,3.4,1794,1
Peripherals,1.5,Good,Refurbish,58,22,9.2,1408,7
Monitor,9.9,Broken,Recycle,33,21,8.8,916,5
Smartphone,3.7,Broken,Recycle,58,21,3.4,4431,5
Monitor,2.0,Broken,Recycle,35,28,6.9,7778,9
Tablet,5.6,Fair,Recycle,30,6,10.3,9876,1
Monitor,7.9,Broken,Recycle,60,20,5.1,6346,4
Laptop,4.9,Fair,Refurbish,42,28,2.2,3166,8
Laptop,1.1,Good,Refurbish,27,4,9.4,7344,1
Tablet,7.4,Fair,Recycle,46,27,3.7,64,9
Smartphone,10.9,Dead,Refurbish,27,13,10.4,4648,3
Laptop,4.9,Good,Refurbish,23,8,12.7,4319,4
Peripherals,3.0,Fair,Refurbish,33,11,2.3,3650,5
Laptop,5.6,Broken,Recycle,42,24,6.8,6398,7
Laptop,1.1,Fair,Recycle,61,28,7.0,2015,7
Smartphone,9.9,Broken,Recycle,21,19,9.7,9513,4
Monitor,10.0,Broken,Refurbish,54,23,5.3,4024,6
Laptop,7.3,Excellent,Refurbish,51,5,6.6,6314,0
Tablet,4.6,Dead,Recycle,36,5,0.7,8804,1
Monitor,9.7,Broken,Recycle,50,28,2.3,8843,10
Peripherals,6.9,Dead,Recycle,21,29,8.8,1387,10
Smartphone,10.0,Broken,Recycle,61,3,3.6,5179,1
Peripherals,7.8,Dead,Recycle,51,2,2.6,6598,0
Monitor,9.5,Good,Recycle,29,29,5.2,6479,4
Monitor,7.4,Good,Recycle,48,3,2.9,4763,4
Monitor,5.3,Dead,Recycle,33,15,1.4,4109,3
Peripherals,11.5,Good,Recycle,19,7,4.6,5535,0
Monitor,6.7,Excellent,Recycle,19,3,2.9,3128,1
Peripherals,7.5,Broken,Recycle,53,15,12.1,4866,3
Monitor,3.0,Broken,Refurbish,23,11,1.4,5085,4
Tablet,7.7,Good,Recycle,40,16,11.3,537,2
Monitor,7.1,Dead,Recycle,56,13,6.1,7929,4
Peripherals,2.6,Broken,Recycle,64,2,10.3,5031,0
Laptop,1.2,Fair,Refurbish,61,20,1.3,5998,6
Monitor,7.5,Broken,Recycle,54,12,13.9,7679,1
Laptop,9.3,Fair,Recycle,63,21,11.6,2037,4
Tablet,6.5,Good,Recycle,33,29,2.5,9154,7
Smartphone,3.1,Good,Recycle,60,7,3.7,1243,1
Tablet,8.2,Fair,Recycle,61,1,9.8,7117,0
Monitor,1.4,Fair,Refurbish,36,14,13.9,8724,3
Laptop,5.6,Broken,Recycle,41,24,7.0,3130,7
Laptop,2.4,Broken,Refurbish,44,10,7.5,5479,2
Peripherals,2.6,Fair,Refurbish,24,3,3.9,1653,1
Laptop,2.8,Broken,Recycle,47,11,6.1,8304,5
Peripherals,4.9,Good,Refurbish,58,22,4.6,7974,7
Smartphone,1.1,Excellent,Refurbish,31,20,5.6,9491,8
Monitor,5.1,Dead,Recycle,61,21,0.8,2304,6
Peripherals,6.4,Excellent,Refurbish,32,26,1.1,6920,7
Smartphone,6.1,Good,Recycle,29,28,10.4,9893,9
Laptop,4.9,Broken,Recycle,46,15,10.4,3814,3
Laptop,10.2,Fair,Recycle,40,6,5.3,8412,1
Smartphone,2.2,Dead,Recycle,30,18,13.3,5038,4
Laptop,6.3,Good,Recycle,26,13,4.4,3781,3
Smartphone,1.2,Excellent,Refurbish,41,15,6.2,1958,5
Peripherals,1.3,Good,Refurbish,56,3,11.1,1296,0
Peripherals,7.1,Fair,Recycle,47,15,11.3,6341,3
Smartphone,7.0,Fair,Recycle,18,24,13.0,5723,3
Peripherals,10.6,Fair,Recycle,27,24,0.9,9224,7
Peripherals,6.9,Dead,Recycle,55,1,3.2,5082,3
Peripherals,11.5,Dead,Recycle,64,10,9.8,4322,5
Tablet,1.1,Good,Refurbish,32,24,5.4,7301,11
Monitor,1.6,Fair,Refurbish,26,27,1.1,3228,9
Laptop,1.0,Fair,Refurbish,30,18,9.0,6568,3
Tablet,2.6,Dead,Recycle,40,26,6.2,1475,10
Peripherals,6.7,Dead,Recycle,50,26,5.8,2407,7
Smartphone,7.9,Good,Recycle,26,29,4.3,7543,8
Peripherals,1.0,Broken,Recycle,20,8,0.6,935,4
Monitor,11.4,Fair,Recycle,47,12,3.1,5415,7
Peripherals,10.2,Excellent,Recycle,26,26,7.4,2245,7
Smartphone,3.9,Excellent,Refurbish,42,5,4.5,5689,2
Monitor,1.4,Fair,Recycle,64,1,13.2,4337,0
Peripherals,2.5,Fair,Refurbish,41,8,2.6,6572,3
Monitor,2.0,Excellent,Recycle,49,28,13.2,3950,8
Laptop,1.9,Broken,Recycle,24,5,6.4,2658,1
Laptop,6.5,Good,Recycle,53,17,4.5,6149,5
Peripherals,3.3,Fair,Recycle,42,15,4.9,7485,5
Monitor,4.6,Good,Refurbish,37,4,5.3,3283,0
Smartphone,11.9,Good,Recycle,34,13,7.8,1296,0
Peripherals,8.4,Fair,Recycle,53,17,5.6,1647,5
Laptop,11.4,Good,Recycle,43,13,9.9,8551,3
Laptop,2.1,Fair,Refurbish,36,25,6.7,3452,8
Peripherals,4.9,Good,Refurbish,54,26,10.2,9356,10
Monitor,6.9,Fair,Recycle,20,2,9.3,8092,2
Laptop,1.4,Good,Refurbish,60,24,4.0,5629,4
Monitor,0.5,Broken,Recycle,45,4,12.3,3244,4
Laptop,8.2,Broken,Recycle,39,25,12.1,7187,7
Laptop,7.9,Good,Recycle,64,2,14.8,4025,0
Tablet,5.2,Fair,Refurbish,36,12,3.0,8694,6
Laptop,6.1,Excellent,Recycle,63,19,12.8,6370,0
Smartphone,5.3,Fair,Refurbish,33,18,13.1,4204,3
Peripherals,0.8,Good,Refurbish,23,10,9.8,9535,2
Peripherals,4.4,Fair,Refurbish,54,5,7.8,3812,1
Monitor,2.5,Fair,Recycle,48,11,14.4,9002,4
Laptop,1.6,Dead,Refurbish,51,1,14.6,7254,0
Smartphone,11.5,Fair,Recycle,48,28,9.8,785,8
Monitor,7.4,Fair,Recycle,28,3,5.7,227,0
Tablet,8.9,Fair,Recycle,53,17,12.3,4947,5
Monitor,4.1,Dead,Recycle,23,26,1.8,7477,8
Monitor,5.0,Broken,Recycle,44,15,4.7,827,6
Laptop,3.2,Good,Refurbish,24,14,14.8,378,1
Tablet,1.6,Broken,Recycle,49,24,12.3,6256,6
Monitor,2.6,Fair,Refurbish,25,15,14.1,9320,0
Smartphone,9.7,Broken,Recycle,50,16,9.1,6082,6
Smartphone,8.3,Broken,Refurbish,64,28,6.4,8482,7
